id,relid,year,conflict_name,dyad_name,side_a,side_b,state,lga,latitude,longitude,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_estimate,high_estimate,low_estimate,source_article,source_headline,location_description
194346,CHA-2015-2-455-1,2015,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Benue state,Guma lga,7.96667,8.76667,2015-04-25,2015-04-25,0,10,0,0,10,10,10,"""BBC Monitoring Africa,2015-04-27,Some 12 people die in clash between Fulani, Tiv farmers in Nigeria's Benue State""","Some 12 people die in clash between Fulani, Tiv farmers in Nigeria's Benue State","Tse Uosu, Gbudu and Branch Umenge, Mbadwem district, Guma lga"
195169,CHA-2015-2-5583-1,2015,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Benue state,Logo lga,7.68922,9.25049,2015-05-23,2015-05-24,0,23,0,0,23,23,23,"""Agence France Presse,2015-05-26,Suspected Fulani herdsmen kill at least 23 in central Nigeria: police"";""All Africa,2015-05-27,Herdsmen Vent Venom On Benue""",Suspected Fulani herdsmen kill at least 23 in central Nigeria: police;Herdsmen Vent Venom On Benue,"Ukura, Gafa, Per, Tse-Gusa, Logo local government area"
195457,CHA-2015-2-360-0,2015,Fulani - Tarok,Fulani - Tarok,Fulani,Tarok,Plateau state,Kanam lga,9.54882,10.09733,2015-06-05,2015-06-07,0,0,0,0,0,2,0,"""All Africa,2015-06-08,Fulani Herdsmen Sack 17 Plateau Villages""",Fulani Herdsmen Sack 17 Plateau Villages,between Bululu and Yiplack community in Kanam local government council of Plateau State
195739,CHA-2015-2-14009-0,2015,Fulani - Jukun,Fulani - Jukun,Fulani,Jukun,Taraba state,Wukari lga,7.910337,9.601728,2015-06-17,2015-06-17,0,0,0,0,0,8,0,"""Agence France Presse,2015-06-18,Eight dead in Nigeria farm attack: police""",Eight dead in Nigeria farm attack: police,Sondi village
216655,CHA-2015-2-455-7.1,2015,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Taraba state,Ibi lga,8.238208,9.696992,2015-09-15,2015-09-15,1,0,0,4,5,5,5,"""Nigeria Watch IBD006710,2015-09-15,Fulani Vs Tiv, Taraba""","Fulani Vs Tiv, Taraba","Serkin Gudu and Dooshima Villages, Ibi LGA"
216659,CHA-2015-2-455-7.2,2015,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Taraba state,Ibi lga,8.35088,9.88731,2015-09-15,2015-09-15,0,0,0,5,5,5,5,"""Nigeria Watch IBD006710,2015-09-15,Fulani Vs Tiv, Taraba""","Fulani Vs Tiv, Taraba","Serkin Gudu village, Ibi LGA"
206501,CHA-2015-2-455-2,2015,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Taraba state,Wukari lga,7.96327,9.84767,2015-10-21,2015-10-21,0,0,0,0,0,5,0,"""All Africa,2015-10-22,Troops Kill 150 Boko Haram Insurgents in Adamawa""",Troops Kill 150 Boko Haram Insurgents in Adamawa,"KatanKa Village, Wukari LGA"
216236,NIG-2015-2-12341-5,2015,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.879744,7.959716,2015-11-15,2015-11-15,81,0,0,0,81,81,30,"""All Africa,2016-02-23,Nigeria: Taming Marauding Fulani Herdsmen""",Nigeria: Taming Marauding Fulani Herdsmen,"Egba village, Agatu LGAA"
216676,NIG-2015-2-12341-6,2015,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Nasarawa state,Nasarawa lga,8.26937,7.59744,2015-12-29,2015-12-29,0,1,0,0,1,1,1,"""Nigeria Watch IBD007536,2015-12-29,Herdsmen vs Farmers, Nasarawa""","Herdsmen vs Farmers, Nasarawa","Udeni Ruwa district, Nasarawa LGA"
218816,NIG-2016-2-12341-0,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Nasarawa state,Toto lga,8.2502,7.19827,2016-01-03,2016-01-03,2,0,0,0,2,10,2,"""All Africa,2016-01-11,Police Deployed to Nasarawa Villages After Sunday Bloodbath""",Police Deployed to Nasarawa Villages After Sunday Bloodbath,Udeni Ruwa District in Nasarawa-Toto Local Government Area of Nasarawa State
231612,NIG-2016-2-12341-5,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Nasarawa state,Nasarawa lga,8.26937,7.59744,2016-01-14,2016-01-14,0,0,0,30,30,40,30,"""Vox Peccavi,2016-01-31,Situation Enemy Forces"";""Nigeria Watch IBD007631,2016-01-14,Fulani Herdsmen Attack, Nasarawa""","Situation Enemy Forces;Fulani Herdsmen Attack, Nasarawa","ODENI MAGAJI Village, NASARAWA LGA, NASARAWA State"
236108,NIG-2016-2-12341-8,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.872,8.00833,2016-01-20,2016-01-25,3,0,0,0,3,3,3,"""All Africa,2016-03-21,Special Report - Inside the Agatu Killing Field: Blood On the Streets, Charred Bodies Everywhere""","Special Report - Inside the Agatu Killing Field: Blood On the Streets, Charred Bodies Everywhere",Aila village
235968,NIG-2016-2-12341-6,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.9061,7.85487,2016-02-01,2016-02-01,0,0,0,10,10,10,10,"""Nigeria Watch IBD007725,2016-02-01,Farmers vs Fulani Herdsmen, Benue""","Farmers vs Fulani Herdsmen, Benue","Ega, Adapti Island"
